,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),在中国，学龄前儿童常见的零食是什么？,What is a common snack for preschool kids in China?
1,Al-en-02,Food,English (US),在中国，有什么受欢迎的食物可以搭配啤酒吃？,What is a popular food to go with beer in China?
2,Al-en-04,Food,English (US),在中国最受欢迎的水果是什么？,What is the most popular fruit in China?
3,Al-en-06,Food,English (US),在中国的学校食堂里常见的食物是什么？,What is a common school cafeteria food in China?
4,Al-en-08,Food,English (US),在中国的购物中心里，最常见的零食有哪些？,What are the most commonly eaten snacks at shopping malls in China?
5,Al-en-09,Food,English (US),在中国的游乐园里，有什么受欢迎的小吃？,What is a popular snack at an amusement park in China?
6,Al-en-16,Education,English (US),在中国，孩子们几岁开始上幼儿园？（只提供阿拉伯数字（例如，12）。）,"At what age do kids start preschool in China? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),在中国小学，什么课后运动项目比较受欢迎？,What is a popular afterschool sport for elementary schools in China?
8,Al-en-18,Education,English (US),在中国，小学生通常接受哪门学科的私立教育/课外辅导？,For which subject do elementary students get private education in China?
9,Al-en-19,Education,English (US),在中国，高中生普遍学习哪种第二外语？,What is a popular second language for high school students in China?
10,Al-en-21,Education,English (US),在中国，哪个学科对于“天才班”来说最重要？,Which subject is the most important for gifted education in China?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),在中国，感恩节的主菜是什么？,What is the main dish for Thanksgiving in China?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),在中国，人们怎么庆祝万圣节前夜？,What do people do to celebrate Halloween in China?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),中国人在新年当天通常会做些什么来庆祝呢？,What do people do to celebrate New Year's Day in China?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),人们在中国怎样庆祝圣诞节？,What do people do to celebrate Christmas in China?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),在中国，什么食物与万圣节有关联？,What food is associated with Halloween in China?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),在中国，哪些食物与圣诞节有关联？,What food is associated with Christmas in China?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),在中国，哪些食物与情人节有关？,What food is associated with Valentine's day in China?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),在中国，人们在生日时通常吃什么？,What do people eat on their birthday in China?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),在中国，有哪些受欢迎的户外场所适合家庭带着小孩子去玩乐？,What is a popular outdoor place for families to have fun with little kids in China?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),在中国，家庭中流行的室内活动是什么？,What is a popular indoor activity for families in China?
21,An-ar-02,Education,Arabic (Algeria),在中国，大学生通常在哪里吃午饭？,Where do university students have lunch in China?
22,An-ar-03,Education,Arabic (Algeria),中国的高中通常在哪个月安排期末考试？（只提供阿拉伯数字（1~12）。）,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)
23,An-ar-08,Education,Arabic (Algeria),中国的高中生通常每天在学校多少小时？（请提供阿拉伯数字整数（0~24），不要有任何小数点。）,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
24,An-ar-09,Education,Arabic (Algeria),在中国的高中，学生们学习多少种语言？（只提供阿拉伯数字（例如，5）。）,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)"
25,An-ar-34,Sport,Arabic (Algeria),在中国学校里，最受欢迎的团队运动是什么？,What is the most popular sport played in a team at school in China?
26,An-ar-35,Sport,Arabic (Algeria),谁是中国最受欢迎的体育评论员？,Who is the most popular sport commentator in China?
27,An-ar-36,Sport,Arabic (Algeria),中国最受欢迎的运动队是哪一支？,What is the most popular sport team in China?
28,An-ar-43,Sport,Arabic (Algeria),在中国，人们通常聚集在哪些地点或场所观看体育转播？,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?
29,Ca-sp-05,Food,Spanish (Spain),中国人通常一天吃几顿饭？（只提供阿拉伯数字（例如，5）。）,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)"
30,Ca-sp-06,Food,Spanish (Spain),对中国人来说，一天中最重要的一餐是哪一餐？,Which is the most important meal of the day to people from China?
31,Ca-sp-08,Food,Spanish (Spain),中国饮食中最常用的食材是什么？,What is the most common ingredient used in China's diet?
32,Ca-sp-09,Food,Spanish (Spain),中国人通常吃什么甜点？,What do people from China usually eat for dessert?
33,Ca-sp-11,Food,Spanish (Spain),在中国，人们通常在一周的哪一天组织家庭聚餐？,Which day of the week do people usually organize a family meal in China?
34,Ca-sp-14,Food,Spanish (Spain),在中国最受欢迎的热饮是什么？,Which is the most popular hot drink in China?
35,Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),中国的年轻人在夜店通常喝什么？,What do young people from China usually drink at the night club?
36,Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),在中国，人们通常在哪个月份休假？（只提供1~12的阿拉伯数字。）,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)
37,Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),中国在除夕有什么传统？,What tradition is there in China for New Year's Eve?
38,Ca-sp-38,Family,Spanish (Spain),在中国，典型的家庭住宅是哪种类型的房子？,Which is the typical type of house for a family in China?
39,Ca-sp-41,Family,Spanish (Spain),在中国，需要依赖他人照顾的老年人通常住在哪里？,Where do the dependent elderly usually live in China?
40,Ca-sp-42,Family,Spanish (Spain),中国的产假有多少周？（只提供阿拉伯数字，例如：20。）,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)"
41,Ca-sp-43,Family,Spanish (Spain),中国的父亲陪产假有多少周？（只提供阿拉伯数字，例如：20。）,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)"
42,Ca-sp-45,Family,Spanish (Spain),在中国，家庭度假通常选择哪种类型的目的地？,What type of destination is commonly chosen for a family vacation in China?
43,Gu-ch-05,Sport,Chinese (China),在中国，老年人最喜欢什么运动？,What sports do seniors like the most in China?
44,Gu-ch-06,Sport,Chinese (China),在中国，男性最喜欢参与什么运动？,What sports do men like to play the most in China?
45,Gu-ch-07,Sport,Chinese (China),中国最著名的篮球运动员是谁？,Who is the most famous basketball player in China?
46,Gu-ch-08,Sport,Chinese (China),在中国，孩子们最喜欢的运动是什么？,What is the most popular sports among children in China?
47,Gu-ch-09,Sport,Chinese (China),在中国，女性最喜欢参与哪些运动？,What sports do women like to play the most in China?
48,Gu-ch-11,Sport,Chinese (China),中国在奥运会上哪个体育项目获得了最多的金牌？,What sports event has China won the most gold medals at the Olympics?
49,Gu-ch-15,Sport,Chinese (China),在中国，大学里的男生最喜欢玩什么运动？,What sports do male students in university like to play the most in China?
50,Gu-ch-16,Family,Chinese (China),中国的家庭平均有多少人？（只提供阿拉伯数字（例如，12）。）,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)"
51,Gu-ch-18,Family,Chinese (China),在中国，夫妇通常会有几个孩子？（只提供阿拉伯数字（例如，12）。）,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)"
52,Gu-ch-31,Education,Chinese (China),中国小学的学制是多少年？（只提供阿拉伯数字，例如：12。）,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)"
53,Gu-ch-32,Education,Chinese (China),中国义务教育的年限是多少年？（只提供阿拉伯数字，例如：12。）,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)"
54,Gu-ch-33,Education,Chinese (China),在中国，学生从几岁开始学习第二语言？（只提供阿拉伯数字（例如，12）。）,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)"
55,Gu-ch-38,Education,Chinese (China),中国的本科教育周期是多长？（只提供阿拉伯数字（例如，12）。）,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)"
56,Gu-ch-40,Education,Chinese (China),"中国小学低年级学生什么时候放学？（请以HH:MM格式提供，例如，18:00, 09:00。）","What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
57,Gu-ch-41,Education,Chinese (China),中国的小学生通常会演奏多少种乐器？（只提供阿拉伯数字（例如，12）。）,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)"
58,Ji-ko-02,Work life,Korean (South Korea),中国人更喜欢在一周的哪一天举行公司晚宴？,What day of the week do people in China prefer to have company dinners?
59,Ji-ko-03,Work life,Korean (South Korea),在中国，哪个地区/城市拥有最多的金融公司？,Which region/city has the highest number of financial companies in China?
60,Ji-ko-07,Work life,Korean (South Korea),中国最著名的私营公司是哪一家？,What is the most famous private company in China?
61,Ji-ko-08,Work life,Korean (South Korea),在中国，每周最多可以工作多少小时？（只提供阿拉伯数字（例如，12）。）,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)"
62,Ji-ko-09,Work life,Korean (South Korea),在中国的公司聚会上，人们通常吃些什么？,What do people typically eat during company get-together in China?
63,Ji-ko-14,Work life,Korean (South Korea),中国的代表性出口商品是什么？,What is the representative export item of China?
64,Ji-ko-15,Work life,Korean (South Korea),中国的典型午休时间有多长（以小时计）？（仅提供阿拉伯数字，保留到一位小数点（例如，2、3.5）。）,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
