,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),በኢትዮጵያ ቅድመ መደበኛ ልጆች የተለመደ መክሰስ ምንድን ነው?,What is a common snack for preschool kids in Ethiopia?
1,Al-en-02,Food,English (US),በኢትዮጵያ ቢራ ጋር ምን ዓይነት ምግብ የተወደደ ነው?,What is a popular food to go with beer in Ethiopia?
2,Al-en-04,Food,English (US),በኢትዮጵያ ምን ዓይነት ፍሬ እጅግ ታዋቂ ነው?,What is the most popular fruit in Ethiopia?
3,Al-en-06,Food,English (US),በኢትዮጵያ በትምህርት ቤት መኖሪያ የተለመደ ምግብ ምንድነው?,What is a common school cafeteria food in Ethiopia?
4,Al-en-08,Food,English (US),በኢትዮጵያ በገባያ አዳራሽ ውስጥ በተለይ የሚበሉ ምግቦች ምንናቸው ናቸው?,What are the most commonly eaten snacks at shopping malls in Ethiopia?
5,Al-en-09,Food,English (US),በኢትዮጵያ የመዝናኛ ፓርክ ውስጥ ታዋቂ አሰራር ምግብ ምንድነው?,What is a popular snack at an amusement park in Ethiopia?
6,Al-en-16,Education,English (US),በኢትዮጵያ ልጆች ቅድመ መደበኛ ትምህርት የሚጀምሩበት እድሜ ስንት ነው? (በአረብኛ ቁጥሮች (ምሳሌ 12) ብቻ ይምረጡ።),"At what age do kids start preschool in Ethiopia? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ቤቶች ከትምህርት በኋላ የሚካሄድ ዝነኛ ስፖርት ዓይነት ምንድነው?,What is a popular afterschool sport for elementary schools in Ethiopia?
8,Al-en-18,Education,English (US),በኢትዮጵያ በመጀመሪያ ደረጃ ትምህርት ተማሪዎቸ የግል አስጠኚ የሚቀጠርላቸው በተለየ ለየትኛው የትምህርት አይነት ነው?,For which subject do elementary students get private education in Ethiopia?
9,Al-en-19,Education,English (US),በኢትዮጵያ በሁለተኛ ደረጃ ትምህርት ተማሪዎች ተመራጭ ሁለተኛ ቋንቋ ምንድን ነው?,What is a popular second language for high school students in Ethiopia?
10,Al-en-21,Education,English (US),በኢትዮጵያ ለብልህ ተማሪ ጠቃሚ ትምህርት ነው ሚባለው የትምህርት አይነት የቱ ነው?,Which subject is the most important for gifted education in Ethiopia?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),በኢትዮጵያ ለምስጋና በዓል ዋነኛው ምግብ ምንድን ነው?,What is the main dish for Thanksgiving in Ethiopia?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),ሰዎች በኢትዮጵያ ሃሎዊንን ለመውደም ምን ያደርጋሉ?,What do people do to celebrate Halloween in Ethiopia?
