,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),What is a common snack for nursery kids in the UK?,What is a common snack for preschool kids in UK?
1,Al-en-02,Food,English (US),What is a popular food to go with beer in the UK?,What is a popular food to go with beer in UK?
2,Al-en-04,Food,English (US),What is the most popular fruit in the UK?,What is the most popular fruit in UK?
3,Al-en-06,Food,English (US),What is a common school cafeteria food in the UK?,What is a common school cafeteria food in UK?
4,Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in the UK?,What are the most commonly eaten snacks at shopping malls in UK?
5,Al-en-09,Food,English (US),What is a popular snack at an amusement park in the UK?,What is a popular snack at an amusement park in UK?
6,Al-en-16,Education,English (US),"At what age do kids start nursery in the UK? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),What is a popular afterschool sport for primary schools in the UK?,What is a popular afterschool sport for elementary schools in UK?
8,Al-en-18,Education,English (US),For which subject do primary school students get private education in the UK?,For which subject do elementary students get private education in UK?
9,Al-en-19,Education,English (US),What is a popular second language for secondary school students in the UK?,What is a popular second language for high school students in UK?
10,Al-en-21,Education,English (US),Which subject is the most important for gifted education in the UK?,Which subject is the most important for gifted education in UK?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),What is the main dish for Thanksgiving in the UK?,What is the main dish for Thanksgiving in UK?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Halloween in the UK?,What do people do to celebrate Halloween in UK?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in the UK?,What do people do to celebrate New Year's Day in UK?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in the UK?,What do people do to celebrate Christmas in UK?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),What food is associated with Halloween in the UK?,What food is associated with Halloween in UK?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),What food is associated with Christmas in the UK?,What food is associated with Christmas in UK?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in the UK?,What food is associated with Valentine's day in UK?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in the UK?,What do people eat on their birthday in UK?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in the UK?,What is a popular outdoor place for families to have fun with little kids in UK?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in the UK?,What is a popular indoor activity for families in UK?
21,An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in the UK?,Where do university students have lunch in UK?
22,An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at secondary schools in the UK? (Provide Arabic numerals (1~12) only.),Which month is the final exam term usually scheduled at high schools in UK? (Provide Arabic numerals (1~12) only.)
23,An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in the UK usually spend at secondary school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","How many hours a day do students in UK usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
24,An-ar-09,Education,Arabic (Algeria),"How many languages do students study at secondary school in the UK? (Provide Arabic numerals (e.g., 5) only.)","How many languages do students study at high school in UK? (Provide Arabic numerals (e.g., 5) only.)"
