,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),북한의 유치원 어린이들이 많이 먹는 간식은 무엇인가요?,What is a common snack for preschool kids in North Korea?
1,Al-en-02,Food,English (US),북한에서 맥주와 함께 안주로 먹기 좋아 하는 음식은 무엇인가요?,What is a popular food to go with beer in North Korea?
2,Al-en-04,Food,English (US),북한에서 가장 좋아 하는 과일은 무엇입니까?,What is the most popular fruit in North Korea?
3,Al-en-06,Food,English (US),북한 학교 급식에서 흔히 볼 수 있는 음식은 무엇인가요?,What is a common school cafeteria food in North Korea?
4,Al-en-08,Food,English (US),북한 상업중심에서 사람들이 가장 많이 먹는 간식은 무엇인가요?,What are the most commonly eaten snacks at shopping malls in North Korea?
5,Al-en-09,Food,English (US),북한의 유희장에서 먹기 좋아 하는 간식은 무엇인가요?,What is a popular snack at an amusement park in North Korea?
6,Al-en-16,Education,English (US),북한에서 아이들은 보통 몇 살에 유치원에 다니기 시작하나요? (아라비아 숫자(예: 12)만 기재해 주세요.),"At what age do kids start preschool in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),북한의 소학교에서 수업 후에 하는 체육 중 아이들이 좋아 하는 체육은 무엇인가요?,What is a popular afterschool sport for elementary schools in North Korea?
8,Al-en-18,Education,English (US),북한에서 소학교 학생들이 받는 전문 개인지도에는 어떤 과목이 있나요?,For which subject do elementary students get private education in North Korea?
9,Al-en-19,Education,English (US),북한 고급중학생들이 가장 좋아 하는 외국어는 무엇인가요?,What is a popular second language for high school students in North Korea?
10,Al-en-21,Education,English (US),북한의 수재 교육에서 가장 중요한 과목은 무엇인가요?,Which subject is the most important for gifted education in North Korea?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),북한에서는 추석에 주로 어떤 음식을 먹나요?,What is the main dish for Thanksgiving in North Korea?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),북한 사람들은 할로윈을 기념하기 위해 무엇을 하나요?,What do people do to celebrate Halloween in North Korea?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),북한 사람들은 새해 첫날을 어떻게 기념하나요?,What do people do to celebrate New Year's Day in North Korea?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),북한에서 사람들은 크리스마스를 어떻게 기념하나요?,What do people do to celebrate Christmas in North Korea?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),북한에서 할로윈 관련 음식은 무엇인가요?,What food is associated with Halloween in North Korea?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),북한에서 크리스마스를 상징하는 음식은 무엇인가요?,What food is associated with Christmas in North Korea?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),북한에서 발렌타인과 관련된 음식은 무엇인가요?,What food is associated with Valentine's day in North Korea?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),북한 사람들은 생일에 무엇을 먹나요?,What do people eat on their birthday in North Korea?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),북한에서 가족이 어린 자식들과 함께 재밌는 시간을 보낼 수 있는 이름 있는 야외 장소는 어디인가요?,What is a popular outdoor place for families to have fun with little kids in North Korea?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),북한에서 가족들이 집에서 주로 즐기는 활동은 무엇인가요?,What is a popular indoor activity for families in North Korea?
21,An-ar-02,Education,Arabic (Algeria),북한의 대학생들은 어디에서 점심을 먹나요?,Where do university students have lunch in North Korea?
22,An-ar-03,Education,Arabic (Algeria),북한의 고급중학교 학생들은 주로 몇 월에 학기말시험을 보나요? (아라비아 숫자(1~12)만 기재해 주세요.),Which month is the final exam term usually scheduled at high schools in North Korea? (Provide Arabic numerals (1~12) only.)
23,An-ar-08,Education,Arabic (Algeria),"북한 고급중학생들은 보통 하루에 몇 시간을 학교에서 보내나요? (아라비아 숫자 정수(0~24)로, 소수점 없이 제공해주세요.)","How many hours a day do students in North Korea usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
24,An-ar-09,Education,Arabic (Algeria),북한의 고급중학교 학생들은 학교에서 몇 가지 외국어를 공부하나요? (아라비아 숫자(예: 5)만 기재해주세요.),"How many languages do students study at high school in North Korea? (Provide Arabic numerals (e.g., 5) only.)"
25,An-ar-34,Sport,Arabic (Algeria),북한의 학교에서 가장 많이 하는 단체체육종목은 무엇입니까?,What is the most popular sport played in a team at school in North Korea?
26,An-ar-35,Sport,Arabic (Algeria),북한에서 가장 잘하는 체육경기 해설원은 누구인가요?,Who is the most popular sport commentator in North Korea?
27,An-ar-36,Sport,Arabic (Algeria),북한에서 가장 유명한 체육단은 어디인가요?,What is the most popular sport team in North Korea?
28,An-ar-43,Sport,Arabic (Algeria),북한 사람들이 보통 체육경기 방송을 보기 위해 모이는 장소는 어디인가요?,What are the common places or venues where individuals in North Korea usually gather to watch sports broadcasts?
29,Ca-sp-05,Food,Spanish (Spain),북한 사람들은 보통 하루에 몇 끼를 먹나요? (아라비아 숫자(예: 5)만 기재하세요.),"How many meals per day do people from North Korea usually have? (Provide Arabic numerals (e.g., 5) only.)"
30,Ca-sp-06,Food,Spanish (Spain),북한 사람들에게 하루 중 가장 중요한 끼니는 무엇인가요?,Which is the most important meal of the day to people from North Korea?
31,Ca-sp-08,Food,Spanish (Spain),북한 음식에서 가장 흔히 사용되는 음식감은 무엇입니까?,What is the most common ingredient used in North Korea's diet?
32,Ca-sp-09,Food,Spanish (Spain),북한 사람들은 보통 식사 후 무엇을 먹나요?,What do people from North Korea usually eat for dessert?
33,Ca-sp-11,Food,Spanish (Spain),북한에서 사람들은 보통 어떤 요일에 가족식사를 하나요?,Which day of the week do people usually organize a family meal in North Korea?
34,Ca-sp-14,Food,Spanish (Spain),북한 사람들이 가장 좋아 하는 따뜻한 음료는 무엇입니까?,Which is the most popular hot drink in North Korea?
35,Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),북한의 젊은이들은 구락부에서 보통 무엇을 마시나요?,What do young people from North Korea usually drink at the night club?
36,Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),북한에서 사람들이 보통 어느 달에 휴가를 가나요? (아라비아 숫자(1~12)만 기재해 주세요.),At which month do people usually take holidays in North Korea? (Provide Arabic numerals (1~12) only.)
37,Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),북한에는 새해 전날에 무엇을 하나요?,What tradition is there in North Korea for New Year's Eve?
38,Ca-sp-38,Family,Spanish (Spain),북한에서 가족이 대부분 어떤 집에서 사는가요?,Which is the typical type of house for a family in North Korea?
39,Ca-sp-41,Family,Spanish (Spain),북한에서 혼자 움직일 수 없는 로인들은 대체로 어느 곳에 사나요?,Where do the dependent elderly usually live in North Korea?
40,Ca-sp-42,Family,Spanish (Spain),북한에서 여성의 산전산후 휴가는 몇 주인가요? (아라비아 숫자(예: 20)만 제공해 주세요.),"How long (in weeks) is North Korea's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)"
41,Ca-sp-43,Family,Spanish (Spain),북한에서 남자의 산전산후휴가 기간은 몇 주인가요? (아라비아 숫자(예: 20)만 제공해 주세요.),"How long (in weeks) is North Korea's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)"
42,Ca-sp-45,Family,Spanish (Spain),북한에서는 주로 어떤 곳으로 가족이 여행를 가나요?,What type of destination is commonly chosen for a family vacation in North Korea?
43,Gu-ch-05,Sport,Chinese (China),북한의 로인들이 가장 좋아 하는 체육은 무엇인가요?,What sports do seniors like the most in North Korea?
44,Gu-ch-06,Sport,Chinese (China),북한 남자들이 가장 좋아 하는 체육종목은 무엇인가요?,What sports do men like to play the most in North Korea?
45,Gu-ch-07,Sport,Chinese (China),북한에서 가장 이름 있는 농구 선수는 누구인가요?,Who is the most famous basketball player in North Korea?
46,Gu-ch-08,Sport,Chinese (China),북한의 어린이들이 가장 좋아 하는 체육은 무엇인가요?,What is the most popular sports among children in North Korea?
47,Gu-ch-09,Sport,Chinese (China),북한 여자들이 가장 좋아 하는 체육종목은 무엇인가요?,What sports do women like to play the most in North Korea?
48,Gu-ch-11,Sport,Chinese (China),북한이 올림픽에서 가장 많은 금메달을 받은 종목은 무엇인가요?,What sports event has North Korea won the most gold medals at the Olympics?
49,Gu-ch-15,Sport,Chinese (China),북한의 대학 남학생들이 가장 좋아 하는 체육종목은 무엇인가요?,What sports do male students in university like to play the most in North Korea?
50,Gu-ch-16,Family,Chinese (China),북한의 평균 가족 식구 수는 몇 명입니까? (아라비아 숫자(예: 12)만 기재해 주세요.),"How many people are there in a family on average in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
51,Gu-ch-18,Family,Chinese (China),북한의 부부는 보통 몇 명의 자식를 낳습니까? (아라비아 숫자(예: 12)만 기재해 주세요.),"How many children do couples usually have in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
52,Gu-ch-31,Education,Chinese (China),북한의 소학교는 모두 몇 년 다녀야 하나요? (아라비아 숫자(예: 12)만 기재해 주세요.),"What is the duration of elementary school in years in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
53,Gu-ch-32,Education,Chinese (China),북한의 의무교육 기간은 몇 년인가요? (아라비아 숫자(예: 12)만 기재해 주세요.),"What is the duration of compulsory education in years in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
54,Gu-ch-33,Education,Chinese (China),북한에서 학생들은 몇 살 때부터 외국어를 배우기 시작하나요? (아라비아 숫자(예: 12)만 기재해 주세요.),"From which age do students start learning their second language in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
55,Gu-ch-38,Education,Chinese (China),북한의 대학 학부 교육 기간은 몇 년인가요? (아라비아 숫자(예: 12)만 기재해 주세요.),"What is the duration of undergraduate education in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
56,Gu-ch-40,Education,Chinese (China),"북한의 소학교 낮은 학년 학생들은 주로 몇 시에 집에 가나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공해주세요.)","What time do younger elementary school students finish school in North Korea? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
57,Gu-ch-41,Education,Chinese (China),북한의 소학교 학생들은 보통 몇 가지 악기를 다루나요? (아라비아 숫자(예: 12)만 기재해주세요.),"How many musical instruments do elementary school students in North Korea typically play? (Provide Arabic numerals (e.g., 12) only.)"
58,Ji-ko-02,Work life,Korean (South Korea),북한 사람들은 어느 요일에 모여서 먹는것(추렴) 하는 것을 가장 좋아 하나요?,What day of the week do people in North Korea prefer to have company dinners?
59,Ji-ko-03,Work life,Korean (South Korea),북한에서 은행이 가장 많은 지방/시는 어디인가요?,Which region/city has the highest number of financial companies in North Korea?
60,Ji-ko-07,Work life,Korean (South Korea),북한에서 가장 이름 있는 개인 기업소는 어디입니까?,What is the most famous private company in North Korea?
61,Ji-ko-08,Work life,Korean (South Korea),북한에서는 일주일에 최대 몇 시간 일할 수 있습니까? (아라비아 숫자(예: 12)만 기재해 주세요.),"What is the maximum number of hours one can work per week in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
62,Ji-ko-09,Work life,Korean (South Korea),북한 사람들은 보통 모여서 먹을 때 무엇을 먹나요?,What do people typically eat during company get-together in North Korea?
63,Ji-ko-14,Work life,Korean (South Korea),북한의 대표 수출 품종은 무엇입니까?,What is the representative export item of North Korea?
64,Ji-ko-15,Work life,Korean (South Korea),"북한에서 점심 시간은 보통 몇 시간입니까? (아라비아 숫자로 소수점 한 자리까지(예: 2, 3.5)만 제공해 주세요.)","How long (in hours) is the typical lunch break in North Korea? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
65,Ji-ko-16,Family,Korean (South Korea),북한에서 애기를 놓은 후 어머니들이 건강을 위해 어디에 머무르나요?,Where do mothers stay for a certain period after childbirth for recovery in North Korea?
66,Ji-ko-19,Family,Korean (South Korea),북한에서 어머니의날에 어머님께 드리는 가장 흔한 꽃은 무엇인가요?,What is North Korea's most commonly given flower on Parents' Day?
67,Ji-ko-22,Family,Korean (South Korea),북한 사회에서 사람들은 첫 로임을 특별히 어디에 쓰나요?,What do people especially spend their first salary on in North Korea's society?
68,Ji-ko-24,Family,Korean (South Korea),북한 어린이들이 가장 좋아 하는 유희장은 무엇인가요?,What is the most preferred recreational facility among children in North Korea?
69,Ji-ko-25,Family,Korean (South Korea),북한의 가족 관련 국가휴식일은 무엇이 있나요?,What are the family-related holidays in North Korea?
70,Ji-ko-26,Family,Korean (South Korea),북한 사회에서 사람들은 언제(무엇을 한 후에) 부모로부터 따로 나나요?,What are the key milestones associated with children's independence from their parents in North Korea's society?
71,Ji-ko-27,Family,Korean (South Korea),북한에서 늙은 부모를 보려 갈때 주로 가지고 가는 물건은 무엇인가요?,What is the common gift you give when visiting elderly parents in North Korea?
72,Ji-ko-28,Family,Korean (South Korea),북한에서 아기가 태어난 후 사람들이 처음으로 보는 날은 언제인가요?,When is the first day that people celebrate after a child is born in North Korea?
73,Ji-ko-29,Family,Korean (South Korea),북한 사회에서 가장 잘 보내는 생일은 몇 번째 생일인가요?,Which age's birthday is celebrated the most grandly in North Korea's society?
74,Ji-ko-31,Education,Korean (South Korea),북한의 초고급중학교 학생들은 보통 어디에서 시험공부를 하나요?,Where do middle and high school students in North Korea usually study for exams?
75,Ji-ko-33,Education,Korean (South Korea),북한의 고급중학교 학생들은 보통 저녁 식사 후에 어디로 가나요?,Where do high school students in North Korea usually go after dinner?
76,Ji-ko-34,Education,Korean (South Korea),북한의 소학교 학생들은 어떻게 학교에 가나요?,How do elementary school students in North Korea go to school?
77,Ji-ko-35,Education,Korean (South Korea),북한에서 가장 많이 받는 전문 개인지도는 무엇인가요?,What is the most common form of private education in North Korea?
78,Ji-ko-36,Education,Korean (South Korea),북한의 초고급중학교 학생들이 어떤 과목에 대한 개인전문지도를 가장 많이 받나요?,Which subject’s academy/private educational institute do middle or high students most frequently attend in North Korea?
79,Ji-ko-37,Education,Korean (South Korea),북한의 초고급중학교 학생들은 학교에 어떤 옷을 입고 학교에 가나요?,What type of clothing do middle and high school students wear to school in North Korea?
80,Ji-ko-38,Education,Korean (South Korea),북한의 대학 입학에서 가장 입학하기 어려운 학부는 무엇인가요?,Which major is considered the most difficult to gain admission to in North Korea?
81,Ji-ko-39,Education,Korean (South Korea),북한 소학교 학생들이 가장 많이 배우는 악기는 무엇인가요?,What is the most commonly learned musical instrument by elementary school students in North Korea?
82,Ji-ko-40,Education,Korean (South Korea),북한의 고급중학교 학생들은 보통 쉬는 시간에 무엇을 하나요?,What do high school students typically do during break time in schools in North Korea?
83,Ji-ko-41,Education,Korean (South Korea),북한의 학교 안에서 학생들은 어떤 신발을 신나요?,What kind of shoes do students wear in schools in North Korea?
84,Ji-ko-42,Education,Korean (South Korea),북한의 대학 입학시험에서 꼭 시험치는 과목은 무엇인가요?,What are the required subjects in North Korea's university entrance exam?
85,Ji-ko-44,Education,Korean (South Korea),북한의 어느 지방(도시 내)에서 교육 열성이 가장 높나요?,Which region (within a city) in North Korea has the highest academic fervor?
86,Ji-ko-45,Education,Korean (South Korea),북한의 대학 축제에서 사람들이 가장 바라는 것은 무엇인가요?,What do people look forward to the most at university festivals in North Korea?
87,Jo-sp-01,Sport,Spanish (Spain),북한에서 두번째로 좋아 하는 체육종목 무엇인가요?,What is the second most popular sport in North Korea?
88,Jo-sp-02,Sport,Spanish (Spain),북한에서 구기종목을 제외하고 가장 좋아 하는 체육종목은 무엇인가요?,What is the most popular sport played without a ball in North Korea?
89,Jo-sp-09,Sport,Spanish (Spain),북한의 상류층이 가장 좋아 하는 체육종목은 무엇인가요?,What sports are most associated with the upper class in North Korea?
90,Jo-sp-13,Sport,Spanish (Spain),북한에서 가장 좋아 하는 수상 체육종목은 무엇인가요?,What is the most popular water sport in North Korea?
91,Jo-sp-14,Sport,Spanish (Spain),북한에서 좋아 하는 뇌발달 경기종목은 무엇인가요?,What is the most popular mental sport in North Korea?
92,Jo-sp-18,Work life,Spanish (Spain),북한의 로동자 한 명이 일년에 받는 휴가 일수는 며칠인가요? (아라비아 숫자(예: 12)로만 제공해 주세요.),"How many holiday days per year does a standard worker gets in North Korea? (Provide Arabic numerals (e.g., 12) only.)"
93,Jo-sp-19,Work life,Spanish (Spain),북한의 어느 지방이 옛적 부터 농업 지역입니까?,What region in North Korea has been traditionally associated with agriculture?
94,Jo-sp-21,Work life,Spanish (Spain),"북한의 로동자들은 보통 몇 시부터 점심밥을 먹나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공하세요.)","What time, if any, do people usually leave work for lunch in North Korea? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
95,Jo-sp-31,Education,Spanish (Spain),"북한의 고급중학교 학생들은 보통 몇 시에 집에 가나요? (HH:MM 형식(예: 18:00, 09:00)으로 제공해주세요.)","What time do high school students tend to leave school in North Korea? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
96,Jo-sp-32,Education,Spanish (Spain),북한의 소학교 학생들은 학교에서 주로 어떤 체육을 하나요?,What sport do elementary school students tend to practice at school in North Korea?
97,Jo-sp-36,Education,Spanish (Spain),"북한 소학교의 여름 방학은 주로 몇 주인가요? (아라비아 숫자(예: 7, 8)만 기재해 주세요.)","How long (in weeks) are summer vacations at elementary schools in North Korea? (Provide in Arabic numerals (e.g., 7, 8) only.)"
98,Jo-sp-37,Education,Spanish (Spain),"북한 대학의 여름 방학은 몇주 인가요? (아라비아 숫자(예: 7, 8)만 기재해 주세요.)","How long (in weeks) are summer vacations at universities in North Korea? (Provide in Arabic numerals (e.g., 7, 8) only.)"
99,Jo-sp-39,Education,Spanish (Spain),북한에서 소학교는 몇 살에 입학하나요? (아라비아 숫자(예: 12)만 기재해주세요.),"At what age does elementary education begin in North Korea? (Provide in Arabic numerals (e.g., 7, 8) only.)"
100,Jo-sp-43,Education,Spanish (Spain),"북한의 소학교에서 국어 외에 배우는 외국어는 몇 개인가요? (아라비아 숫자(예: 7, 8)만 제공해 주세요.)","How many languages are studied in elementary education besides North Korea's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)"
101,Jod-ch-01,Food,Chinese (China),북한에서 사람들이 주로 무엇을 리용하여 밥을 먹는가요?,What eating utensils do people commonly used in North Korea?
102,Jod-ch-04,Food,Chinese (China),북한 사람들은 어떤 청량음료를 좋아 하나요?,What soft drink do people in North Korea like to have?
103,Jod-ch-06,Food,Chinese (China),북한에서 가장 좋아 하는 옛날 술은 무엇입니까?,What is the most popular traditional alcohol in North Korea?
104,Jod-ch-07,Food,Chinese (China),"북한 사람들이 식당에서 저녁을 먹는데 평균적으로 몇 시간이 걸리나요? (아라비아 숫자로 소수점 한 자리까지(예: 2, 3.5)만 제공해 주세요.)","How long (in hours) on average does it take for people in North Korea to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
