ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),What is a common snack for preschool kids in your country?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟
Al-en-02,Food,English (US),What is a popular food to go with beer in your country?,ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟
Al-en-04,Food,English (US),What is the most popular fruit in your country?,ما هي الفاكهة الأكثر شعبية في الجزائر؟
Al-en-06,Food,English (US),What is a common school cafeteria food in your country?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟
Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in your country?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟
Al-en-09,Food,English (US),What is a popular snack at an amusement park in your country?,ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟
Al-en-16,Education,English (US),"At what age do kids start preschool in your country? (Provide Arabic numerals (e.g., 12) only.)",في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.)
Al-en-17,Education,English (US),What is a popular afterschool sport for elementary schools in your country?,ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟
Al-en-18,Education,English (US),For which subject do elementary students get private education in your country?,ما هي المادة التي يتلقى فيها أكثر تلاميذ الابتدائي دروسا خصوصية؟ 
Al-en-19,Education,English (US),What is a popular second language for high school students in your country?,ما هي اللغة الثانية الشائعة لطلاب الثانوية في الجزائر؟
Al-en-21,Education,English (US),Which subject is the most important for gifted education in your country?,أي مادة هي الأهم لتعليم الموهوبين في الجزائر؟
Al-en-32,Holidays/Celebration/Leisure,English (US),What is the main dish for Thanksgiving in your country?,ما هو الطبق الرئيسي لعيد الشكر في الجزائر؟
Al-en-33,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Halloween in your country?,ماذا يفعل الناس للاحتفال بعيد الهالوين في الجزائر؟
Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in your country?,ماذا يفعل الناس للاحتفال برأس السنة الجديدة في الجزائر؟
Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in your country?,ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟
Al-en-36,Holidays/Celebration/Leisure,English (US),What food is associated with Halloween in your country?,أي نوع من الطعام يرتبط بعيد الهالوين في الجزائر؟
Al-en-37,Holidays/Celebration/Leisure,English (US),What food is associated with Christmas in your country?,ما هي الأطعمة المرتبطة بعيد الميلاد في الجزائر؟
Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in your country?,ما هو الطعام المرتبط بعيد الحب في الجزائر؟
Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in your country?,ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟
Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in your country?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟
Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in your country?,ما هي الأنشطة العائلية المنزلية في الجزائر؟
An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in your country?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟
An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at high schools in your country? (Provide Arabic numerals (1~12) only.),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12)
An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in your country usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",كم من ساعة في اليوم يقضيها طلاب المدرسة الثانوية  في الجزائر؟ (استعمل الأرقام العربية الصحيحة (0~24)، بدون أي نقاط عشرية.)
An-ar-09,Education,Arabic (Algeria),"How many languages do students study at high school in your country? (Provide Arabic numerals (e.g., 5) only.)","كم من لغة يدرس الطلاب في المدارس الثانوية في الجزائر؟ (أجب برقم, مثلا 5.)"
An-ar-34,Sport,Arabic (Algeria),What is the most popular sport played in a team at school in your country?,ما هي أشهر رياضة جماعية يتم لعبها في المدارس في الجزائر؟
An-ar-35,Sport,Arabic (Algeria),Who is the most popular sport commentator in your country?,من هو أشهر معلق رياضي في الجزائر؟
An-ar-36,Sport,Arabic (Algeria),What is the most popular sport team in your country?,ما هو أشهر فريق رياضي في الجزائر؟
An-ar-43,Sport,Arabic (Algeria),What are the common places or venues where individuals in your country usually gather to watch sports broadcasts?,ما هي الأماكن أو الفضاءات الشائعة التي يتجمع فيها الأفراد في الجزائر لمشاهدة بث رياضي؟
Ca-sp-05,Food,Spanish (Spain),"How many meals per day do people from your country usually have? (Provide Arabic numerals (e.g., 5) only.)",كم وجبة في اليوم يتناولها الناس في الجزائر عادة؟(استعمل الأرقام العربية مثل 5)
Ca-sp-06,Food,Spanish (Spain),Which is the most important meal of the day to people from your country?,ما هي أهم وجبة في اليوم بالنسبة للشعب الجزائري؟
Ca-sp-08,Food,Spanish (Spain),What is the most common ingredient used in your country's diet?,ما هو أكثر مكون شائع الاستخدام في النظام الغذائي الجزائري؟
Ca-sp-09,Food,Spanish (Spain),What do people from your country usually eat for dessert?,ماذا يأكل الناس في الجزائر عادة للتحلية بعد الطعام؟
Ca-sp-11,Food,Spanish (Spain),Which day of the week do people usually organize a family meal in your country?,أي يوم من أيام الأسبوع ينظم الناس عادة وجبة عائلية في الجزائر؟
Ca-sp-14,Food,Spanish (Spain),Which is the most popular hot drink in your country?,ما هو المشروب الساخن الأكثر شعبية في الجزائر؟
Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),What do young people from your country usually drink at the night club?,ماذا يشرب الشباب في الجزائر عادة في النادي الليلي؟
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),At which month do people usually take holidays in your country? (Provide Arabic numerals (1~12) only.),في أي شهر يأخذ الناس عادة عطلاتهم في الجزائر؟(استعمل الأرقام العربية مثل 1~12).
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),What tradition is there in your country for New Year's Eve?,ما هي التقاليد المتبعة في الجزائر ليلة رأس السنة؟
Ca-sp-38,Family,Spanish (Spain),Which is the typical type of house for a family in your country?,ما هو النوع النموذجي لمنازل العائلات في الجزائر؟
Ca-sp-41,Family,Spanish (Spain),Where do the dependent elderly usually live in your country?,أين يعيش كبار السن العاجزين عادة في الجزائر؟
Ca-sp-42,Family,Spanish (Spain),"How long (in weeks) is your country's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",كم تستغرق مدة إجازة الأمومة في الجزائر بالأسابيع؟ (استعمل الأرقام العربية مثل 20.).
Ca-sp-43,Family,Spanish (Spain),"How long (in weeks) is your country's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",كم تدوم (بالأسابيع) إجازة الأبوة في الجزائر للآباء؟ (استعمل الأرقام العربية مثل 20.)
Ca-sp-45,Family,Spanish (Spain),What type of destination is commonly chosen for a family vacation in your country?,أي وجهة يتم اختيارها عادة لقضاء عطلة عائلية في الجزائر؟
Gu-ch-05,Sport,Chinese (China),What sports do seniors like the most in your country?,ما هي الرياضات التي يفضلها كبار السن في الجزائر؟
Gu-ch-06,Sport,Chinese (China),What sports do men like to play the most in your country?,ما هي الرياضات التي يفضل الرجال ممارستها في الجزائر؟
Gu-ch-07,Sport,Chinese (China),Who is the most famous basketball player in your country?,من هو أشهر لاعب كرة سلة في الجزائر؟
Gu-ch-08,Sport,Chinese (China),What is the most popular sports among children in your country?,ما هو أشهر رياضة لدى الأطفال في الجزائر؟
Gu-ch-09,Sport,Chinese (China),What sports do women like to play the most in your country?,ما هي الرياضات التي تفضل النساء ممارستها في الجزائر؟
Gu-ch-11,Sport,Chinese (China),What sports event has your country won the most gold medals at the Olympics?,في أي رياضة فازت الجزائر بأكبر عدد من الميداليات الذهبية في الأولمبياد؟
Gu-ch-15,Sport,Chinese (China),What sports do male students in university like to play the most in your country?,ما هي الرياضات التي يفضل الطلاب الذكور في الجامعة ممارستها في الجزائر؟
Gu-ch-16,Family,Chinese (China),"How many people are there in a family on average in your country? (Provide Arabic numerals (e.g., 12) only.)",كم عدد الأشخاص في الأسرة في المتوسط في الجزائر؟ (استعمل الأرقام العربية مثل 12.)
Gu-ch-18,Family,Chinese (China),"How many children do couples usually have in your country? (Provide Arabic numerals (e.g., 12) only.)",كم عدد الأطفال الذي ينجبه الأزواج عادة في الجزائر؟ (استعمل الأرقام العربية مثل 12.)
Gu-ch-31,Education,Chinese (China),"What is the duration of elementary school in years in your country? (Provide Arabic numerals (e.g., 12) only.)","ما هي مدة الدراسة الابتدائية بالسنوات في الجزائر؟ (أجب برقم, مثلا 12.)"
Gu-ch-32,Education,Chinese (China),"What is the duration of compulsory education in years in your country? (Provide Arabic numerals (e.g., 12) only.)","ما هي مدة التعليم الإلزامي بالسنوات في الجزائر؟(أجب برقم, مثلا 12)"
Gu-ch-33,Education,Chinese (China),"From which age do students start learning their second language in your country? (Provide Arabic numerals (e.g., 12) only.)","من أي سن يبدأ الطلاب تعلم اللغة الثانية في الجزائر؟(أجب برقم, مثلا 12.)"
Gu-ch-38,Education,Chinese (China),"What is the duration of undergraduate education in your country? (Provide Arabic numerals (e.g., 12) only.)","ما هي مدة التعليم الجامعي في الجزائر؟ (أجب برقم, مثلا 12)"
Gu-ch-40,Education,Chinese (China),"What time do younger elementary school students finish school in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",في أي وقت ينتهي دوام التلاميذ الصغار في المدارس الابتدائية في الجزائر؟ (قدم الوقت بتنسيق الساعة:الدقيقة مثلاً، 18:00، 09:00).
Gu-ch-41,Education,Chinese (China),"How many musical instruments do elementary school students in your country typically play? (Provide Arabic numerals (e.g., 12) only.)","كم عدد الآلات الموسيقية التي يعزف عليها تلاميذ المدارس الابتدائية في الجزائر عادة؟ (أجب برقم, مثلا 12.)"
Ji-ko-02,Work life,Korean (South Korea),What day of the week do people in your country prefer to have company dinners?,أي يوم من أيام الأسبوع يفضل الناس في الجزائر تنظيم عشاءات في الشركات؟
Ji-ko-03,Work life,Korean (South Korea),Which region/city has the highest number of financial companies in your country?,أي منطقة/مدينة تحتوي على أكبر عدد من الشركات المالية في الجزائر؟
Ji-ko-07,Work life,Korean (South Korea),What is the most famous private company in your country?,ما هي أشهر شركة خاصة في الجزائر؟
Ji-ko-08,Work life,Korean (South Korea),"What is the maximum number of hours one can work per week in your country? (Provide Arabic numerals (e.g., 12) only.)",ما هو العدد الأقصى لساعات العمل التي يمكن للمرء أن يعملها في الأسبوع في الجزائر؟(استعمل الأرقام العربية مثل 12).
Ji-ko-09,Work life,Korean (South Korea),What do people typically eat during company get-together in your country?,ماذا يأكل الناس عادة في تجمعات الشركات في الجزائر؟
Ji-ko-14,Work life,Korean (South Korea),What is the representative export item of your country?,ما هوأهم منتج تصدره الجزائر؟
Ji-ko-15,Work life,Korean (South Korea),"How long (in hours) is the typical lunch break in your country? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",كم تدوم (بالساعات) فترة الاستراحة للغداء في الجزائر؟ (قدم الأرقام العربية بمنزلة عشرية واحدة (مثلاً، 2، 3.5) فقط.)
Ji-ko-16,Family,Korean (South Korea),Where do mothers stay for a certain period after childbirth for recovery in your country?,أين تقيم الأمهات لفترة معينة بعد الولادة للتعافي في الجزائر؟
Ji-ko-19,Family,Korean (South Korea),What is your country's most commonly given flower on Parents' Day?,ما هي الزهرة الأكثر إهداءً في الجزائر في يوم الوالدين؟
Ji-ko-22,Family,Korean (South Korea),What do people especially spend their first salary on in your country's society?,على ما ينفق الناس أول راتب لهم في المجتمع الجزائري؟
Ji-ko-24,Family,Korean (South Korea),What is the most preferred recreational facility among children in your country?,ما هي المرافق الترفيهية المفضلة لدى الأطفال في الجزائر؟
Ji-ko-25,Family,Korean (South Korea),What are the family-related holidays in your country?,ما هي العطل العائلية في الجزائر؟
Ji-ko-26,Family,Korean (South Korea),What are the key milestones associated with children's independence from their parents in your country's society?,ما هي المراحل الرئيسية المرتبطة باستقلال الأطفال عن والديهم في المجتمع الجزائري؟
Ji-ko-27,Family,Korean (South Korea),What is the common gift you give when visiting elderly parents in your country?,ما هي الهدية التي تقدمها عند زيارة الوالدين المسنين في الجزائر؟
Ji-ko-28,Family,Korean (South Korea),When is the first day that people celebrate after a child is born in your country?,متى يكون أول يوم يحتفل فيه الناس بولادة طفل في الجزائر؟
Ji-ko-29,Family,Korean (South Korea),Which age's birthday is celebrated the most grandly in your country's society?,أي عيد ميلاد يحتفل به بأكبر قدر من الفخامة في المجتمع الجزائري؟
Ji-ko-31,Education,Korean (South Korea),Where do middle and high school students in your country usually study for exams?,أين يدرس طلاب المتوسط والثانوي في الجزائر عادةً للامتحانات؟
Ji-ko-33,Education,Korean (South Korea),Where do high school students in your country usually go after dinner?,أين يذهب طلاب الثانوية في الجزائر عادة بعد العشاء؟
Ji-ko-34,Education,Korean (South Korea),How do elementary school students in your country go to school?,كيف يذهب تلاميذ المدارس الابتدائية في الجزائر إلى المدرسة؟
Ji-ko-35,Education,Korean (South Korea),What is the most common form of private education in your country?,ما هي أكثر أشكال التعليم الخاص شيوعًا في الجزائر؟
Ji-ko-36,Education,Korean (South Korea),Which subject’s academy/private educational institute do middle or high students most frequently attend in your country?,أي أكاديمية أو معهد تعليمي خاص بمادة معينة يرتادها طلاب المتوسط أو الثانوي في الجزائر بكثرة؟
Ji-ko-37,Education,Korean (South Korea),What type of clothing do middle and high school students wear to school in your country?,أي نوع من الملابس يرتديها طلاب المتوسط والثانوي إلى المدرسة في الجزائر؟
Ji-ko-38,Education,Korean (South Korea),Which major is considered the most difficult to gain admission to in your country?,أي تخصص جامعي يعتبر الأصعب  نسبة لمعدل القبول في الجزائر؟
Ji-ko-39,Education,Korean (South Korea),What is the most commonly learned musical instrument by elementary school students in your country?,ما هي الآلة الموسيقية التي يقبل أكثر تلاميذ المدارس على تعلمها؟
Ji-ko-40,Education,Korean (South Korea),What do high school students typically do during break time in schools in your country?,ماذا يفعل طلاب الثانوية عادة أثناء فترة الاستراحة في المدارس في الجزائر؟
Ji-ko-41,Education,Korean (South Korea),What kind of shoes do students wear in schools in your country?,أي نوع من الأحذية يرتديها الطلاب في المدارس في الجزائر؟
Ji-ko-42,Education,Korean (South Korea),What are the required subjects in your country's university entrance exam?,ما هي مواد امتحان دخول الجامعة في الجزائر؟
Ji-ko-44,Education,Korean (South Korea),Which region (within a city) in your country has the highest academic fervor?,أي منطقة (داخل مدينة) في الجزائر تتمتع بأعلى حماس أكاديمي؟
Ji-ko-45,Education,Korean (South Korea),What do people look forward to the most at university festivals in your country?,ما هو الشيء الذي يتطلع إليه الناس أكثر شيء في مهرجانات الجامعات في الجزائر؟
Jo-sp-01,Sport,Spanish (Spain),What is the second most popular sport in your country?,ما هو ثاني رياضة الأكثر شعبية في الجزائر؟
Jo-sp-02,Sport,Spanish (Spain),What is the most popular sport played without a ball in your country?,ما هي أشهر رياضة تُلعب بدون كرة في الجزائر؟
Jo-sp-09,Sport,Spanish (Spain),What sports are most associated with the upper class in your country?,ما هي الرياضات الأكثر ارتباطًا بالطبقة الغنية في الجزائر؟
Jo-sp-13,Sport,Spanish (Spain),What is the most popular water sport in your country?,ما هي الرياضة المائية الأكثر شعبية في الجزائر؟
Jo-sp-14,Sport,Spanish (Spain),What is the most popular mental sport in your country?,ما هي أشهر رياضة ذهنية في الجزائر؟
Jo-sp-18,Work life,Spanish (Spain),"How many holiday days per year does a standard worker gets in your country? (Provide Arabic numerals (e.g., 12) only.)",كم يوم عطلة في السنة يحصل عليها العامل العادي في الجزائر؟(استعمل الأرقام العربية مثل 12) 
Jo-sp-19,Work life,Spanish (Spain),What region in your country has been traditionally associated with agriculture?,ها هي أهم منطقة زراعية في الجزائر؟
Jo-sp-21,Work life,Spanish (Spain),"What time, if any, do people usually leave work for lunch in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",متى يغادر الناس عادة العمل لتناول الغداء في الجزائر؟ (قدم الوقت بتنسيق الساعة:الدقيقة مثلاً، 18:00، 09:00).
Jo-sp-31,Education,Spanish (Spain),"What time do high school students tend to leave school in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",في أي وقت يميل طلاب الثانوية لمغادرة المدرسة في الجزائر؟ (قدم الوقت بتنسيق الساعة:الدقائق مثل، 18:00، 09:00).
Jo-sp-32,Education,Spanish (Spain),What sport do elementary school students tend to practice at school in your country?,أي رياضة يميل تلاميذ المدارس الابتدائية لممارستها في المدارس في الجزائر؟
Jo-sp-36,Education,Spanish (Spain),"How long (in weeks) are summer vacations at elementary schools in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","كم تدوم عطلة الصيف (بالأسابيع) في المدارس الابتدائية في الجزائر؟  (استعمل الأرقام العربية مثل 7, 8)"
Jo-sp-37,Education,Spanish (Spain),"How long (in weeks) are summer vacations at universities in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","كم تدوم عطلة الصيف في الجامعات الجزائرية بالأسابيع؟ (استعمل الأرقام العربية مثل 7, 8.)"
Jo-sp-39,Education,Spanish (Spain),"At what age does elementary education begin in your country? (Provide in Arabic numerals (e.g., 7, 8) only.)","في أي سن يبدأ التعليم الابتدائي في الجزائر؟ (استعمل الأرقام العربية مثل 7, 8.)"
Jo-sp-43,Education,Spanish (Spain),"How many languages are studied in elementary education besides your country's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","كم لغة يتم دراستها في التعليم الابتدائي بالإضافة إلى اللغة الرسمية للجزائر؟(استعمل الأرقام العربية مثل 7, 8.)"
Jod-ch-01,Food,Chinese (China),What eating utensils do people commonly used in your country?,ما هي أدوات الأكل التي يستخدمها الناس عادة في الجزائر؟
Jod-ch-04,Food,Chinese (China),What soft drink do people in your country like to have?,أي مشروب غازي يفضله الناس في الجزائر؟
Jod-ch-06,Food,Chinese (China),What is the most popular traditional alcohol in your country?,ما هو أشهر نوع تقليدي من الكحول في الجزائر؟
Jod-ch-07,Food,Chinese (China),"How long (in hours) on average does it take for people in your country to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",كم يستغرق الناس من الوقت (بالساعات)عادةً لتناول العشاء في مطعم  في الجزائر؟ (قدم الأرقام العربية حتى منزلة عشرية واحدة (مثلاً، 2، 3.5) فقط.)
Jod-ch-09,Food,Chinese (China),"What time do people usually have dinner in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",متى وقت يتناول الناس العشاء في الجزائر عادة؟ (قدم الوقت بتنسيق الساعة:الدقيقة مثلاً، 18:00، 09:00).
Jod-ch-12,Food,Chinese (China),What kind of soup do people from your country like to have?,أي نوع من الحساء يحبه الناس في الجزائر؟
Jod-ch-13,Food,Chinese (China),What street food do people from your country like to eat?,أي نوع من الأكلات الشعبية يحب الجزائريون تناولها؟
Jod-ch-15,Food,Chinese (China),What kind of seafood do people from your country like to eat?,أي نوع من المأكولات البحرية يحب الجزائريون تناولها؟
Jod-ch-16,Holidays/Celebration/Leisure,Chinese (China),What is the biggest festival in your country?,ما هو أكبر احتفال في الجزائر؟
Jod-ch-28,Holidays/Celebration/Leisure,Chinese (China),What is the most commonly used public transport by people when travelling between cites in your country?,ما هي وسيلة النقل العمومي الأكثر استخداما عند السفر بين المدن في الجزائر؟
Jod-ch-30,Holidays/Celebration/Leisure,Chinese (China),What are the specific decorations or symbols associated with the most biggest festival in your country?,ما هي الزينة أو الرموز الخاصة المرتبطة بأكبر عيد الاستقلال في الجزائر؟
