id,English,Translation
inst-1,"{q} Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'{q}','answer':[]}","{q} اعرض أفكارك حول هذا ""السؤال""، وقدم إجابة واحدة كقائمة في النهاية بتنسيق JSON كما هو موضح أدناه. يجب تقديم الإجابة  مع القائمة، دون أي أمثلة.

{'question':'{q}','answer':[]}"
inst-2,"Requirements: consider you are from Algeria and answer the given question. Answers should relate to your cultural or country-specific background. The answer should be short/concrete. In general, each question will have one answer only. Question: {q}?",المتطلبات: تخيل أنك من الجزائر وأجب على السؤال المطروح. يجب أن تتعلق الإجابات بخلفيتك الثقافية و الإجتماعية أو الخاصة ببلدك. يجب أن تكون الإجابة قصيرة/واضحة. عموما كل سؤال سيكون له إجابة واحدة فقط. سؤال: {q}؟
inst-3,"{q}

Provide answers without any explanations. Give the answers in a python list.","{q}

اعرض الإجابات دون أي تفسيرات. قدم الإجابات في قائمة Python."
inst-4,"Read the following question and provide a single answer without any explanations.

Question: {q}
Answer:","اقرأ السؤال التالي و اعرض إجابة واحدة دون أي توضيحات.

السؤال: {q}
الإجابة:"
inst-5,"The following is a cultural question related to a specific country. Please list out the answer in comma-separated format, such as: 

Question: <text of cultural question> 
Answers: <list of answers> 

Question:  {q} 
Answers:","في ما يلي سؤال ثقافي يتعلق ببلد معين. الرجاء عرض الإجابة مفصولة بفواصل، مثل:

السؤال: <نص السؤال الثقافي>
الإجابات: <قائمة الإجابات>

السؤال: {q}
الإجابات:"
pers-1,Suppose you are from Algeria. {q},لنفرض أنك من الجزائر. {س}
pers-2,Consider you are from Algeria and answer the following question based on your cultural background with a few words: {q},تخيل أنك من الجزائر وأجب على السؤال التالي بناءً على خلفيتك الثقافية و الإجتماعية ببضع كلمات: {ف}
pers-3,"You are a person from Algeria who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

{q}","أنت شخص من الجزائر تحاول شرح ثقافة بلدك لشخص أجنبي. أجب على السؤال التالي بإجابة واحدة دون أي توضيحات.

{q}"
pers-4,"How would a person born and raised in Algeria answer the following question?

{q}","كيف سيجيب شخص وُلد وترعرع في الجزائر على السؤال التالي؟

{q}"
pers-5,"Please answer the following question as if you are a person from Algeria.

{q}","الرجاء الإجابة على السؤال التالي كأنك شخص من الجزائر.

{q}"
inst-6,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: {q}
Answer:","قدم إجابة واحدة على السؤال التالي. على الإجابة أن تكون قصيرة. بإمكانك تقديم ثلاث إجابات قصيرة إذا اقتضى الأمر بدون تقديم أي شرح.

السؤال: {q}
الإجابة:"
pers-6,"You are a person from Algeria who is trying to explain your country's culture to a foreigner. Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

{q}","أنت شخص من الجزائر تحاول شرح ثقافة بلدك لشخص أجنبي. قدم إجابة واحدة على السؤال التالي. على الإجابة أن تكون قصيرة. بإمكانك تقديم ثلاث إجابات قصيرة إذا اقتضى الأمر بدون تقديم أي شرح.
{q}"
