,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),অসমত প্ৰাক-প্রাথমিক বিদ্যালয়ৰ শিশুসকলৰ বাবে এটা সাধাৰণ জলপান কি?,What is a common snack for preschool kids in Assam?
1,Al-en-02,Food,English (US),অসমত বিয়েৰৰ লগত খোৱা জনপ্ৰিয় খাদ্য সামগ্ৰীটো কি?,What is a popular food to go with beer in Assam?
2,Al-en-04,Food,English (US),অসমত কি ফল সবাতোকৈ জনপ্ৰিয়?,What is the most popular fruit in Assam?
3,Al-en-06,Food,English (US),অসমৰ বিদ্যালয়ৰ কেফেটেৰিয়াত সাধাৰণতে কি খাদ্য পৰিৱেশন কৰা হয়?,What is a common school cafeteria food in Assam?
4,Al-en-08,Food,English (US),অসমৰ শ্বপিং মলসমূহত সচৰাচৰ খোৱা জনপ্ৰিয় খাদ্যবোৰ কি কি?,What are the most commonly eaten snacks at shopping malls in Assam?
5,Al-en-09,Food,English (US),অসমৰ এটা বিনোদন পাৰ্কত জনপ্ৰিয় খাদ্যবিধ কি?,What is a popular snack at an amusement park in Assam?
6,Al-en-16,Education,English (US),"অসমত শিশুসকলে কিমান বয়সত প্ৰাক-প্ৰাথমিক বিদ্যালয়ত ভৰ্তি হয়? (কেৱল আৰবী সংখ্যা (যেনে, 12) প্ৰদান কৰক।)","At what age do kids start preschool in Assam? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),অসমৰ প্ৰাথমিক বিদ্যালয়সমূহৰ বাবে জনপ্ৰিয় স্কুলৰ পিছত খেলা খেলতো কি?,What is a popular afterschool sport for elementary schools in Assam?
8,Al-en-18,Education,English (US),অসমত প্ৰাথমিক বিদ্যালয়ৰ ছাত্ৰ-ছাত্ৰীসকলে কোন বিষয়ত ব্যক্তিগত শিক্ষা গ্ৰহণ কৰে?,For which subject do elementary students get private education in Assam?
9,Al-en-19,Education,English (US),অসমৰ  উচ্চ-মাধ্যমিক বিদ্যালয়ৰ ছাত্ৰ-ছাত্ৰীসকলৰ বাবে জনপ্ৰিয় দ্বিতীয় ভাষা কি?,What is a popular second language for high school students in Assam?
10,Al-en-21,Education,English (US),অসমত মেধাৱী শিক্ষাৰ বাবে কোন বিষয়টো আটাইতকৈ গুৰুত্বপূৰ্ণ?,Which subject is the most important for gifted education in Assam?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),অসমত থেংকসগিভিংৰ মূল খাদ্যটো কি?,What is the main dish for Thanksgiving in Assam?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),অসমত লোকে হেলোৱিন উদযাপন কৰিবলৈ কি কৰে?,What do people do to celebrate Halloween in Assam?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),অসমত নৱবৰ্ষৰ দিনটো উদযাপন কৰিবলৈ মানুহে কি কৰে?,What do people do to celebrate New Year's Day in Assam?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),অসমত লোকে খ্ৰীষ্টমাছ উদযাপন কৰিবলৈ কি কৰে?,What do people do to celebrate Christmas in Assam?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),অসমত হেলোৱিনৰ সৈতে কি খাদ্য জড়িত হৈ আছে?,What food is associated with Halloween in Assam?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),অসমত খ্ৰীষ্টমাছৰ সৈতে কি খাদ্য জড়িত হৈ আছে?,What food is associated with Christmas in Assam?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),অসমত ভেলেণ্টাইন দিৱসৰ সৈতে কি খাদ্য জড়িত হৈ আছে?,What food is associated with Valentine's day in Assam?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),অসমত মানুহে তেওঁলোকৰ জন্মদিনত কি খায়?,What do people eat on their birthday in Assam?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),অসমত পৰিয়ালৰ লগত সৰু শিশুসকলৰ মজা কৰিবলৈ জনপ্ৰিয় আউটডোৰ স্থানটো কি?,What is a popular outdoor place for families to have fun with little kids in Assam?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),অসমত পৰিয়ালৰ বাবে জনপ্ৰিয় ঘৰুৱা ক্ৰিয়াকলাপটো কি?,What is a popular indoor activity for families in Assam?
21,An-ar-02,Education,Arabic (Algeria),অসমত বিশ্ববিদ্যালয়ৰ ছাত্ৰ-ছাত্ৰীসকলে দুপৰীয়াৰ আহাৰ ক'ত খায়?,Where do university students have lunch in Assam?
22,An-ar-03,Education,Arabic (Algeria),অসমৰ উচ্চ বিদ্যালয়সমূহত চূড়ান্ত পৰীক্ষা সাধাৰণতে কোন মাহত নিৰ্ধাৰিত হয়? (কেৱল আৰবী সংখ্যা (1~12) প্ৰদান কৰক।),Which month is the final exam term usually scheduled at high schools in Assam? (Provide Arabic numerals (1~12) only.)
