,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),¿Cuál es una merienda común para niños de preescolar en México?,What is a common snack for preschool kids in Mexico?
1,Al-en-02,Food,English (US),¿Cuál es una comida popular para acompañar con cerveza en México?,What is a popular food to go with beer in Mexico?
2,Al-en-04,Food,English (US),¿Cuál es la fruta más popular en México?,What is the most popular fruit in Mexico?
3,Al-en-06,Food,English (US),¿Cuál es una comida común en las cafeterías escolares de México?,What is a common school cafeteria food in Mexico?
4,Al-en-08,Food,English (US),¿Cuáles son los bocadillos más comúnmente consumidos en los centros comerciales de México?,What are the most commonly eaten snacks at shopping malls in Mexico?
5,Al-en-09,Food,English (US),¿Cuál es una botana popular en un parque de diversiones en México?,What is a popular snack at an amusement park in Mexico?
6,Al-en-16,Education,English (US),"¿A qué edad comienzan los niños el preescolar en México? (Proporcione solo números arábigos (por ejemplo, 3).)","At what age do kids start preschool in Mexico? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),¿Cuál es un deporte extracurricular popular para la primaria en México?,What is a popular afterschool sport for elementary schools in Mexico?
8,Al-en-18,Education,English (US),¿Para qué materia reciben educación privada los estudiantes de primaria en México?,For which subject do elementary students get private education in Mexico?
9,Al-en-19,Education,English (US),¿Cuál es un segundo idioma popular para los estudiantes de preparatoria en México?,What is a popular second language for high school students in Mexico?
10,Al-en-21,Education,English (US),¿Cuál materia es la más importante para la educación de niños superdotados en México?,Which subject is the most important for gifted education in Mexico?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),¿Cuál es el platillo principal para el Día de Acción de Gracias en México?,What is the main dish for Thanksgiving in Mexico?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar Halloween en México?,What do people do to celebrate Halloween in Mexico?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar el Año Nuevo en México?,What do people do to celebrate New Year's Day in Mexico?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar la Navidad en México?,What do people do to celebrate Christmas in Mexico?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con Halloween en México?,What food is associated with Halloween in Mexico?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con la Navidad en México?,What food is associated with Christmas in Mexico?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con el día de San Valentín en México?,What food is associated with Valentine's day in Mexico?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),¿Qué comen las personas en su cumpleaños en México?,What do people eat on their birthday in Mexico?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en México?,What is a popular outdoor place for families to have fun with little kids in Mexico?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),¿Cuál es una actividad popular de interior para las familias en México?,What is a popular indoor activity for families in Mexico?
21,An-ar-02,Education,Arabic (Algeria),¿Dónde comen los estudiantes universitarios en México?,Where do university students have lunch in Mexico?
