,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),Apa camilan umum untuk anak-anak TK di Indonesia?,What is a common snack for preschool kids in Indonesia?
1,Al-en-02,Food,English (US),Apa makanan populer yang cocok disantap bersama bir di Indonesia?,What is a popular food to go with beer in Indonesia?
2,Al-en-04,Food,English (US),Buah apa yang paling populer di Indonesia?,What is the most popular fruit in Indonesia?
3,Al-en-06,Food,English (US),Apa makanan kantin sekolah yang umum di Indonesia?,What is a common school cafeteria food in Indonesia?
4,Al-en-08,Food,English (US),Apa saja camilan yang paling sering dimakan di pusat perbelanjaan di Indonesia?,What are the most commonly eaten snacks at shopping malls in Indonesia?
5,Al-en-09,Food,English (US),Apa camilan populer di taman hiburan di Indonesia?,What is a popular snack at an amusement park in Indonesia?
6,Al-en-16,Education,English (US),"Pada usia berapa anak-anak mulai masuk taman kanak-kanak di Indonesia? (Berikan angka Arab (misalnya, 12) saja.)","At what age do kids start preschool in Indonesia? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),Apa olahraga populer setelah sekolah untuk siswa sekolah dasar (SD) di Indonesia?,What is a popular afterschool sport for elementary schools in Indonesia?
8,Al-en-18,Education,English (US),Untuk mata pelajaran apa siswa sekolah dasar di Indonesia mendapatkan pendidikan privat?,For which subject do elementary students get private education in Indonesia?
9,Al-en-19,Education,English (US),Apa bahasa kedua yang populer bagi siswa SMA di Indonesia?,What is a popular second language for high school students in Indonesia?
10,Al-en-21,Education,English (US),Mata pelajaran apa yang paling penting untuk pendidikan bagi siswa berbakat di Indonesia?,Which subject is the most important for gifted education in Indonesia?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),Apa hidangan utama untuk perayaan Thanksgiving di Indonesia?,What is the main dish for Thanksgiving in Indonesia?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),Apa yang dilakukan orang-orang untuk merayakan Halloween di Indonesia?,What do people do to celebrate Halloween in Indonesia?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),Apa yang dilakukan orang-orang untuk merayakan Hari Tahun Baru di Indonesia?,What do people do to celebrate New Year's Day in Indonesia?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),Apa yang dilakukan orang-orang untuk merayakan Natal di Indonesia?,What do people do to celebrate Christmas in Indonesia?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),Makanan apa yang dikaitkan dengan Halloween di Indonesia?,What food is associated with Halloween in Indonesia?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),Makanan apa yang dikaitkan dengan Natal di Indonesia?,What food is associated with Christmas in Indonesia?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),Makanan apa yang dikaitkan dengan hari Valentine di Indonesia?,What food is associated with Valentine's day in Indonesia?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),Apa yang biasanya orang makan di hari ulang tahun mereka di Indonesia?,What do people eat on their birthday in Indonesia?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),Apa tempat luar ruangan yang populer bagi keluarga untuk bersenang-senang bersama anak-anak kecil di Indonesia?,What is a popular outdoor place for families to have fun with little kids in Indonesia?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),Apa kegiatan dalam ruangan yang populer untuk keluarga di Indonesia?,What is a popular indoor activity for families in Indonesia?
21,An-ar-02,Education,Arabic (Algeria),Di mana mahasiswa universitas makan siang di Indonesia?,Where do university students have lunch in Indonesia?
22,An-ar-03,Education,Arabic (Algeria),Bulan berapa biasanya jadwal ujian akhir semester di sekolah menengah atas di Indonesia? (Berikan hanya angka Arab (1~12).),Which month is the final exam term usually scheduled at high schools in Indonesia? (Provide Arabic numerals (1~12) only.)
23,An-ar-08,Education,Arabic (Algeria),"Berapa jam dalam sehari biasanya siswa di Indonesia menghabiskan waktu di sekolah menengah atas? (Gunakan angka Arab dalam bilangan bulat (0~24), tanpa titik desimal.)","How many hours a day do students in Indonesia usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
