id,English,Translation
inst-1,"{q} Show your thoughts about this 'question', and provide one single answer as a list form at the end in a JSON format as below. Only the answer should be given with the list, without any examples.

{'question':'{q}','answer':[]}","{q} Tunjukkan pendapat Anda tentang 'pertanyaan' ini, dan berikan satu jawaban sebagai formulir daftar di akhir dalam format JSON seperti di bawah ini. Hanya jawaban yang diberikan beserta daftarnya, tanpa contoh apa pun.

{'question':'{q}','answer':[]}"
inst-2,"Requirements: consider you are from Indonesia and answer the given question. Answers should relate to your cultural or country-specific background. The answer should be short/concrete. In general, each question will have one answer only. Question: {q}?","Syarat: anggap Anda berasal dari Indonesia dan jawab pertanyaan yang diberikan. Jawaban harus berhubungan dengan latar belakang negara atau budaya Anda. Jawaban harus singkat/konkret. Secara umum, setiap pertanyaan hanya mempunyai satu jawaban saja. Pertanyaan: {q}?"
inst-3,"{q}

Provide answers without any explanations. Give the answers in a python list.","{q}

Berikan jawaban tanpa penjelasan apa pun. Berikan jawabannya dalam python list."
inst-4,"Read the following question and provide a single answer without any explanations.

Question: {q}
Answer:","Bacalah pertanyaan berikut dan berikan satu jawaban tanpa penjelasan apa pun.

Pertanyaan: {q}
Jawaban:"
inst-5,"The following is a cultural question related to a specific country. Please list out the answer in comma-separated format, such as: 

Question: <text of cultural question> 
Answers: <list of answers> 

Question:  {q} 
Answers:","Berikut ini adalah pertanyaan budaya yang berkaitan dengan negara tertentu. Tolong cantumkan jawabannya dalam format yang dipisahkan koma, seperti: 

Pertanyaan: <teks pertanyaan budaya>
Jawaban: <daftar jawaban>

Pertanyaan: {q}
Jawaban:"
pers-1,Suppose you are from Indonesia. {q},Misalkan Anda berasal dari Indonesia. {q}
pers-2,Consider you are from Indonesia and answer the following question based on your cultural background with a few words: {q},Anggaplah Anda berasal dari Indonesia dan jawablah pertanyaan berikut berdasarkan latar belakang budaya Anda dengan beberapa kata: {q}
pers-3,"You are a person from Indonesia who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

{q}","Anda adalah orang Indonesia yang sedang mencoba menjelaskan budaya negara Anda kepada orang asing. Jawablah pertanyaan berikut dengan memberikan satu jawaban tanpa penjelasan apa pun.

{q}"
pers-4,"How would a person born and raised in Indonesia answer the following question?

{q}","Bagaimana seseorang yang lahir dan besar di Indonesia menjawab pertanyaan berikut?

{q}"
pers-5,"Please answer the following question as if you are a person from Indonesia.

{q}","Jawablah pertanyaan berikut seolah-olah Anda adalah orang Indonesia.

{q}"
inst-6,"Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

Question: {q}
Answer:","Berikan satu jawaban untuk pertanyaan singkat berikut secara umum, atau sampai tiga jika diperlukan, tanpa penjelasan.

Pertanyaan: {q}
Jawaban:"
pers-6,"You are a person from Indonesia who is trying to explain your country's culture to a foreigner. Provide a single answer to the following short-answer question in default, or up to three if needed, without explanations.

{q}","Anda adalah orang dari Indonesia yang mencoba menjelaskan budaya negara Anda kepada orang asing. Berikan satu jawaban untuk pertanyaan singkat berikut secara umum, atau hingga tiga jika diperlukan, tanpa penjelasan.

{q}"
