,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),What is a common snack for preschool kids in the US?,What is a common snack for preschool kids in US?
1,Al-en-02,Food,English (US),What is a popular food to go with beer in the US?,What is a popular food to go with beer in US?
2,Al-en-04,Food,English (US),What is the most popular fruit in the US?,What is the most popular fruit in US?
3,Al-en-06,Food,English (US),What is a common school cafeteria food in the US?,What is a common school cafeteria food in US?
4,Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in the US?,What are the most commonly eaten snacks at shopping malls in US?
5,Al-en-09,Food,English (US),What is a popular snack at an amusement park in the US?,What is a popular snack at an amusement park in US?
6,Al-en-16,Education,English (US),"At what age do kids start preschool in the US? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in US? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),What is a popular afterschool sport for elementary schools in the US?,What is a popular afterschool sport for elementary schools in US?
8,Al-en-18,Education,English (US),For which subject do elementary students get private education in the US?,For which subject do elementary students get private education in US?
9,Al-en-19,Education,English (US),What is a popular second language for high school students in the US?,What is a popular second language for high school students in US?
10,Al-en-21,Education,English (US),Which subject is the most important for gifted education in the US?,Which subject is the most important for gifted education in US?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),What is the main dish for Thanksgiving in the US?,What is the main dish for Thanksgiving in US?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Halloween in the US?,What do people do to celebrate Halloween in US?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in the US?,What do people do to celebrate New Year's Day in US?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in the US?,What do people do to celebrate Christmas in US?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),What food is associated with Halloween in the US?,What food is associated with Halloween in US?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),What food is associated with Christmas in the US?,What food is associated with Christmas in US?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in the US?,What food is associated with Valentine's day in US?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in the US?,What do people eat on their birthday in US?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in the US?,What is a popular outdoor place for families to have fun with little kids in US?
20,Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in the US?,What is a popular indoor activity for families in US?
21,An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in the US?,Where do university students have lunch in US?
22,An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at high schools in the US? (Provide Arabic numerals (1~12) only.),Which month is the final exam term usually scheduled at high schools in US? (Provide Arabic numerals (1~12) only.)
23,An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in the US usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","How many hours a day do students in US usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
24,An-ar-09,Education,Arabic (Algeria),"How many languages do students study at high school in the US? (Provide Arabic numerals (e.g., 5) only.)","How many languages do students study at high school in US? (Provide Arabic numerals (e.g., 5) only.)"
25,An-ar-34,Sport,Arabic (Algeria),What is the most popular sport played in a team at school in the US?,What is the most popular sport played in a team at school in US?
26,An-ar-35,Sport,Arabic (Algeria),Who is the most popular sport commentator in the US?,Who is the most popular sport commentator in US?
27,An-ar-36,Sport,Arabic (Algeria),What is the most popular sport team in the US?,What is the most popular sport team in US?
28,An-ar-43,Sport,Arabic (Algeria),What are the common places or venues where individuals in the US usually gather to watch sports broadcasts?,What are the common places or venues where individuals in US usually gather to watch sports broadcasts?
29,Ca-sp-05,Food,Spanish (Spain),"How many meals per day do people from the US usually have? (Provide Arabic numerals (e.g., 5) only.)","How many meals per day do people from US usually have? (Provide Arabic numerals (e.g., 5) only.)"
30,Ca-sp-06,Food,Spanish (Spain),Which is the most important meal of the day to people from the US?,Which is the most important meal of the day to people from US?
31,Ca-sp-08,Food,Spanish (Spain),What is the most common ingredient used in the US's diet?,What is the most common ingredient used in US's diet?
32,Ca-sp-09,Food,Spanish (Spain),What do people from the US usually eat for dessert?,What do people from US usually eat for dessert?
33,Ca-sp-11,Food,Spanish (Spain),Which day of the week do people usually organize a family meal in the US?,Which day of the week do people usually organize a family meal in US?
34,Ca-sp-14,Food,Spanish (Spain),Which is the most popular hot drink in the US?,Which is the most popular hot drink in US?
35,Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),What do young people from the US usually drink at the night club?,What do young people from US usually drink at the night club?
36,Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),At which month do people usually take holidays in the US? (Provide Arabic numerals (1~12) only.),At which month do people usually take holidays in US? (Provide Arabic numerals (1~12) only.)
37,Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),What tradition is there in the US for New Year's Eve?,What tradition is there in US for New Year's Eve?
38,Ca-sp-38,Family,Spanish (Spain),Which is the typical type of house for a family in the US?,Which is the typical type of house for a family in US?
39,Ca-sp-41,Family,Spanish (Spain),Where do the dependent elderly usually live in the US?,Where do the dependent elderly usually live in US?
40,Ca-sp-42,Family,Spanish (Spain),"How long (in weeks) is the US's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","How long (in weeks) is US's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)"
41,Ca-sp-43,Family,Spanish (Spain),"How long (in weeks) is the US's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","How long (in weeks) is US's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)"
42,Ca-sp-45,Family,Spanish (Spain),What type of destination is commonly chosen for a family vacation in the US?,What type of destination is commonly chosen for a family vacation in US?
43,Gu-ch-05,Sport,Chinese (China),What sports do seniors like the most in the US?,What sports do seniors like the most in US?
44,Gu-ch-06,Sport,Chinese (China),What sports do men like to play the most in the US?,What sports do men like to play the most in US?
45,Gu-ch-07,Sport,Chinese (China),Who is the most famous basketball player in the US?,Who is the most famous basketball player in US?
46,Gu-ch-08,Sport,Chinese (China),What is the most popular sports among children in the US?,What is the most popular sports among children in US?
47,Gu-ch-09,Sport,Chinese (China),What sports do women like to play the most in the US?,What sports do women like to play the most in US?
48,Gu-ch-11,Sport,Chinese (China),What sports event has the US won the most gold medals at the Olympics?,What sports event has US won the most gold medals at the Olympics?
49,Gu-ch-15,Sport,Chinese (China),What sports do male students in university like to play the most in the US?,What sports do male students in university like to play the most in US?
50,Gu-ch-16,Family,Chinese (China),"How many people are there in a family on average in the US? (Provide Arabic numerals (e.g., 12) only.)","How many people are there in a family on average in US? (Provide Arabic numerals (e.g., 12) only.)"
51,Gu-ch-18,Family,Chinese (China),"How many children do couples usually have in the US? (Provide Arabic numerals (e.g., 12) only.)","How many children do couples usually have in US? (Provide Arabic numerals (e.g., 12) only.)"
52,Gu-ch-31,Education,Chinese (China),"What is the duration of elementary school in years in the US? (Provide Arabic numerals (e.g., 12) only.)","What is the duration of elementary school in years in US? (Provide Arabic numerals (e.g., 12) only.)"
53,Gu-ch-32,Education,Chinese (China),"What is the duration of compulsory education in years in the US? (Provide Arabic numerals (e.g., 12) only.)","What is the duration of compulsory education in years in US? (Provide Arabic numerals (e.g., 12) only.)"
54,Gu-ch-33,Education,Chinese (China),"From which age do students start learning their second language in the US? (Provide Arabic numerals (e.g., 12) only.)","From which age do students start learning their second language in US? (Provide Arabic numerals (e.g., 12) only.)"
55,Gu-ch-38,Education,Chinese (China),"What is the duration of undergraduate education in the US? (Provide Arabic numerals (e.g., 12) only.)","What is the duration of undergraduate education in US? (Provide Arabic numerals (e.g., 12) only.)"
56,Gu-ch-40,Education,Chinese (China),"What time do younger elementary school students finish school in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time do younger elementary school students finish school in US? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
57,Gu-ch-41,Education,Chinese (China),"How many musical instruments do elementary school students in the US typically play? (Provide Arabic numerals (e.g., 12) only.)","How many musical instruments do elementary school students in US typically play? (Provide Arabic numerals (e.g., 12) only.)"
58,Ji-ko-02,Work life,Korean (South Korea),What day of the week do people in the US prefer to have company dinners?,What day of the week do people in US prefer to have company dinners?
59,Ji-ko-03,Work life,Korean (South Korea),Which region/city has the highest number of financial companies in the US?,Which region/city has the highest number of financial companies in US?
60,Ji-ko-07,Work life,Korean (South Korea),What is the most famous private company in the US?,What is the most famous private company in US?
61,Ji-ko-08,Work life,Korean (South Korea),"What is the maximum number of hours one can work per week in the US? (Provide Arabic numerals (e.g., 12) only.)","What is the maximum number of hours one can work per week in US? (Provide Arabic numerals (e.g., 12) only.)"
62,Ji-ko-09,Work life,Korean (South Korea),What do people typically eat during company get-together in the US?,What do people typically eat during company get-together in US?
63,Ji-ko-14,Work life,Korean (South Korea),What is the representative export item of the US?,What is the representative export item of US?
64,Ji-ko-15,Work life,Korean (South Korea),"How long (in hours) is the typical lunch break in the US? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) is the typical lunch break in US? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
65,Ji-ko-16,Family,Korean (South Korea),Where do mothers stay for a certain period after childbirth for recovery in the US?,Where do mothers stay for a certain period after childbirth for recovery in US?
66,Ji-ko-19,Family,Korean (South Korea),What is the US's most commonly given flower on Parents' Day?,What is US's most commonly given flower on Parents' Day?
67,Ji-ko-22,Family,Korean (South Korea),What do people especially spend their first salary on in the US's society?,What do people especially spend their first salary on in US's society?
68,Ji-ko-24,Family,Korean (South Korea),What is the most preferred recreational facility among children in the US?,What is the most preferred recreational facility among children in US?
69,Ji-ko-25,Family,Korean (South Korea),What are the family-related holidays in the US?,What are the family-related holidays in US?
70,Ji-ko-26,Family,Korean (South Korea),What are the key milestones associated with children's independence from their parents in the US's society?,What are the key milestones associated with children's independence from their parents in US's society?
71,Ji-ko-27,Family,Korean (South Korea),What is the common gift you give when visiting elderly parents in the US?,What is the common gift you give when visiting elderly parents in US?
72,Ji-ko-28,Family,Korean (South Korea),When is the first day that people celebrate after a child is born in the US?,When is the first day that people celebrate after a child is born in US?
73,Ji-ko-29,Family,Korean (South Korea),Which age's birthday is celebrated the most grandly in the US's society?,Which age's birthday is celebrated the most grandly in US's society?
74,Ji-ko-31,Education,Korean (South Korea),Where do middle and high school students in the US usually study for exams?,Where do middle and high school students in US usually study for exams?
75,Ji-ko-33,Education,Korean (South Korea),Where do high school students in the US usually go after dinner?,Where do high school students in US usually go after dinner?
76,Ji-ko-34,Education,Korean (South Korea),How do elementary school students in the US go to school?,How do elementary school students in US go to school?
77,Ji-ko-35,Education,Korean (South Korea),What is the most common form of private education in the US?,What is the most common form of private education in US?
78,Ji-ko-36,Education,Korean (South Korea),Which subject’s academy/private educational institute do middle or high students most frequently attend in the US?,Which subject’s academy/private educational institute do middle or high students most frequently attend in US?
79,Ji-ko-37,Education,Korean (South Korea),What type of clothing do middle and high school students wear to school in the US?,What type of clothing do middle and high school students wear to school in US?
80,Ji-ko-38,Education,Korean (South Korea),Which major is considered the most difficult to gain admission to in the US?,Which major is considered the most difficult to gain admission to in US?
81,Ji-ko-39,Education,Korean (South Korea),What is the most commonly learned musical instrument by elementary school students in the US?,What is the most commonly learned musical instrument by elementary school students in US?
82,Ji-ko-40,Education,Korean (South Korea),What do high school students typically do during break time in schools in the US?,What do high school students typically do during break time in schools in US?
83,Ji-ko-41,Education,Korean (South Korea),What kind of shoes do students wear in schools in the US?,What kind of shoes do students wear in schools in US?
84,Ji-ko-42,Education,Korean (South Korea),What are the required subjects in the US's university entrance exam?,What are the required subjects in US's university entrance exam?
85,Ji-ko-44,Education,Korean (South Korea),Which region (within a city) in the US has the highest academic fervor?,Which region (within a city) in US has the highest academic fervor?
86,Ji-ko-45,Education,Korean (South Korea),What do people look forward to the most at university festivals in the US?,What do people look forward to the most at university festivals in US?
87,Jo-sp-01,Sport,Spanish (Spain),What is the second most popular sport in the US?,What is the second most popular sport in US?
88,Jo-sp-02,Sport,Spanish (Spain),What is the most popular sport played without a ball in the US?,What is the most popular sport played without a ball in US?
89,Jo-sp-09,Sport,Spanish (Spain),What sports are most associated with the upper class in the US?,What sports are most associated with the upper class in US?
90,Jo-sp-13,Sport,Spanish (Spain),What is the most popular water sport in the US?,What is the most popular water sport in US?
91,Jo-sp-14,Sport,Spanish (Spain),What is the most popular mental sport in the US?,What is the most popular mental sport in US?
92,Jo-sp-18,Work life,Spanish (Spain),"How many holiday days per year does a standard worker gets in the US? (Provide Arabic numerals (e.g., 12) only.)","How many holiday days per year does a standard worker gets in US? (Provide Arabic numerals (e.g., 12) only.)"
93,Jo-sp-19,Work life,Spanish (Spain),What region in the US has been traditionally associated with agriculture?,What region in US has been traditionally associated with agriculture?
94,Jo-sp-21,Work life,Spanish (Spain),"What time, if any, do people usually leave work for lunch in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time, if any, do people usually leave work for lunch in US? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
95,Jo-sp-31,Education,Spanish (Spain),"What time do high school students tend to leave school in the US? (Provide in HH:MM format (e.g., 18:00, 09:00).)","What time do high school students tend to leave school in US? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
96,Jo-sp-32,Education,Spanish (Spain),What sport do elementary school students tend to practice at school in the US?,What sport do elementary school students tend to practice at school in US?
97,Jo-sp-36,Education,Spanish (Spain),"How long (in weeks) are summer vacations at elementary schools in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","How long (in weeks) are summer vacations at elementary schools in US? (Provide in Arabic numerals (e.g., 7, 8) only.)"
98,Jo-sp-37,Education,Spanish (Spain),"How long (in weeks) are summer vacations at universities in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","How long (in weeks) are summer vacations at universities in US? (Provide in Arabic numerals (e.g., 7, 8) only.)"
99,Jo-sp-39,Education,Spanish (Spain),"At what age does elementary education begin in the US? (Provide in Arabic numerals (e.g., 7, 8) only.)","At what age does elementary education begin in US? (Provide in Arabic numerals (e.g., 7, 8) only.)"
100,Jo-sp-43,Education,Spanish (Spain),"How many languages are studied in elementary education besides the US's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","How many languages are studied in elementary education besides US's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)"
101,Jod-ch-01,Food,Chinese (China),What eating utensils do people commonly used in the US?,What eating utensils do people commonly used in US?
102,Jod-ch-04,Food,Chinese (China),What soft drink do people in the US like to have?,What soft drink do people in US like to have?
103,Jod-ch-06,Food,Chinese (China),What is the most popular traditional alcohol in the US?,What is the most popular traditional alcohol in US?
104,Jod-ch-07,Food,Chinese (China),"How long (in hours) on average does it take for people in the US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","How long (in hours) on average does it take for people in US to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
