,ID,Topic,Source,Question,Translation
0,Al-en-01,Food,English (US),대한민국의 유치원생들이 흔히 먹는 간식은 무엇인가요?,What is a common snack for preschool kids in South Korea?
1,Al-en-02,Food,English (US),대한민국에서 맥주와 함께 즐겨먹는 음식은 무엇인가요?,What is a popular food to go with beer in South Korea?
2,Al-en-04,Food,English (US),대한민국에서 가장 인기 있는 과일은 무엇입니까?,What is the most popular fruit in South Korea?
3,Al-en-06,Food,English (US),대한민국 학교 급식에서 흔히 볼 수 있는 음식은 무엇인가요?,What is a common school cafeteria food in South Korea?
4,Al-en-08,Food,English (US),대한민국 쇼핑몰에서 사람들이 가장 흔히 먹는 간식은 무엇인가요?,What are the most commonly eaten snacks at shopping malls in South Korea?
5,Al-en-09,Food,English (US),대한민국의 놀이공원에서 인기 있는 간식은 무엇인가요?,What is a popular snack at an amusement park in South Korea?
6,Al-en-16,Education,English (US),대한민국에서 아이들은 보통 몇 살에 유치원에 다니기 시작하나요? (아라비아 숫자(예: 12)만 기재해 주세요. 만 나이가 아닌 한국식 나이(세는 나이)를 기준으로 답변해주세요.),"At what age do kids start preschool in South Korea? (Provide Arabic numerals (e.g., 12) only.)"
7,Al-en-17,Education,English (US),대한민국의 초등학교에서 방과 후에 하는 스포츠 중 인기 있는 스포츠는 무엇인가요?,What is a popular afterschool sport for elementary schools in South Korea?
8,Al-en-18,Education,English (US),대한민국의 초등학생들은 어떤 과목에 대해 사교육을 받나요?,For which subject do elementary students get private education in South Korea?
9,Al-en-19,Education,English (US),대한민국의 고등학생들이 흔하게 배우는 외국어는 무엇인가요?,What is a popular second language for high school students in South Korea?
10,Al-en-21,Education,English (US),대한민국의 영재 교육에서 가장 중요한 과목은 무엇인가요?,Which subject is the most important for gifted education in South Korea?
11,Al-en-32,Holidays/Celebration/Leisure,English (US),대한민국에서는 추석에 주로 어떤 음식을 먹나요?,What is the main dish for Thanksgiving in South Korea?
12,Al-en-33,Holidays/Celebration/Leisure,English (US),대한민국 사람들은 할로윈을 기념하기 위해 무엇을 하나요?,What do people do to celebrate Halloween in South Korea?
13,Al-en-34,Holidays/Celebration/Leisure,English (US),대한민국 사람들은 새해 첫날을 어떻게 기념하나요?,What do people do to celebrate New Year's Day in South Korea?
14,Al-en-35,Holidays/Celebration/Leisure,English (US),대한민국에서 사람들은 크리스마스를 어떻게 기념하나요?,What do people do to celebrate Christmas in South Korea?
15,Al-en-36,Holidays/Celebration/Leisure,English (US),대한민국에서 할로윈 관련 음식은 무엇인가요?,What food is associated with Halloween in South Korea?
16,Al-en-37,Holidays/Celebration/Leisure,English (US),대한민국에서 크리스마스와 관련된 음식은 무엇인가요?,What food is associated with Christmas in South Korea?
17,Al-en-38,Holidays/Celebration/Leisure,English (US),대한민국에서 발렌타인 데이와 관련된 식품은 무엇인가요?,What food is associated with Valentine's day in South Korea?
18,Al-en-39,Holidays/Celebration/Leisure,English (US),대한민국 사람들은 생일에 무엇을 먹나요?,What do people eat on their birthday in South Korea?
19,Al-en-40,Holidays/Celebration/Leisure,English (US),대한민국에서 어린 자녀와 함께 즐거운 시간을 보낼 수 있는 야외 장소는 어디인가요?,What is a popular outdoor place for families to have fun with little kids in South Korea?
